Time in ms,flex1,flex2,flex3,flex4,flex5,flex6,Labels
2503,164,185,69,116,70,120,0.0
2247,162,216,66,116,68,122,0.0
3116,164,197,68,122,70,123,0.0
2958,163,203,66,122,70,131,0.0
2745,163,186,68,113,70,128,0.0
2289,164,179,73,112,71,134,0.0
3100,162,187,70,128,71,129,0.0
2329,166,184,68,120,63,123,0.0
2273,157,218,80,102,65,111,0.0
3018,163,189,69,123,71,141,0.0
2364,161,197,68,114,67,125,0.0
2188,163,189,71,113,72,137,0.0
2817,160,188,69,126,73,147,0.0
2462,170,195,69,121,60,127,0.0
2631,165,197,68,111,70,121,0.0
2324,152,189,74,112,68,130,0.0
2013,170,185,66,109,67,130,0.0
2606,157,172,66,125,65,135,0.0
3281,162,178,71,130,67,151,0.0
2546,171,187,67,130,51,122,0.0
2073,163,183,68,118,65,125,0.0
2012,171,174,66,130,71,136,0.0
1858,158,175,69,121,67,134,0.0
2184,157,182,70,129,70,136,0.0
2453,158,196,63,105,62,120,0.0
2287,169,198,66,108,62,119,0.0
2568,159,188,69,109,61,116,0.0
2709,157,184,69,122,69,137,0.0
1730,163,194,68,115,52,126,0.0
2598,162,150,65,123,73,124,0.0
2245,160,172,72,120,68,155,0.0
2765,155,189,69,121,64,137,0.0
4187,159,209,71,108,69,141,0.0
3047,160,188,69,125,71,152,0.0
1892,163,186,70,122,75,136,0.0
3069,163,180,72,130,76,136,0.0
2913,162,184,73,115,70,168,0.0
2488,161,181,70,123,66,144,0.0
2310,161,176,70,119,71,145,0.0
2461,161,191,74,134,76,122,0.0
2661,152,181,68,116,65,150,0.0
2426,162,178,69,109,68,143,0.0
3240,159,179,71,118,70,143,0.0
2714,160,179,65,109,64,136,0.0
2395,158,178,72,131,67,161,0.0
818,220,225,196,238,158,176,1.0
2152,139,159,128,181,125,159,1.0
2527,133,145,125,187,131,158,1.0
2651,155,160,141,196,139,161,1.0
4274,158,165,132,209,148,157,1.0
396,207,232,206,244,158,180,1.0
4367,163,163,139,226,139,173,1.0
3306,179,178,145,213,160,157,1.0
396,210,230,204,241,160,190,1.0
3774,152,176,146,209,146,145,1.0
3961,160,162,141,203,141,163,1.0
3244,131,177,140,209,135,135,1.0
