Time in ms,flex1,flex2,flex3,flex4,flex5,flex6,Set,Labels
3806,165,177,66,123,77,98,train,0.0
3694,166,176,66,119,78,99,train,0.0
2081,166,173,62,113,72,90,train,0.0
3297,167,176,65,119,78,98,train,0.0
2223,166,174,66,115,71,91,train,0.0
2405,169,189,68,122,75,97,test,0.0
2546,168,188,67,126,76,98,test,0.0
3365,174,189,60,124,78,100,test,0.0
2774,170,190,67,125,78,98,test,0.0
3683,173,190,63,126,80,99,test,0.0
3911,157,196,69,117,87,87,train,0.0
3995,157,197,70,115,85,90,train,0.0
3097,159,192,68,115,80,89,train,0.0
3350,159,193,68,116,81,91,train,0.0
3827,158,195,70,116,85,83,train,0.0
2976,177,203,69,122,69,117,train,0.0
2860,176,204,70,121,69,115,train,0.0
2597,176,202,70,122,69,112,train,0.0
3325,177,204,69,122,70,114,train,0.0
3501,178,205,69,125,69,118,train,0.0
3357,179,196,71,122,103,100,test,0.0
1303,170,229,200,236,155,116,test,0.0
1116,174,226,188,237,150,122,test,0.0
3531,179,198,71,126,97,102,test,0.0
2912,153,199,68,117,115,117,test,0.0
3254,137,195,69,126,84,106,train,0.0
2875,137,193,69,128,79,108,train,0.0
3195,138,195,68,126,80,111,train,0.0
3108,138,195,68,126,84,107,train,0.0
2933,138,195,68,127,79,110,train,0.0
3783,166,197,71,118,72,108,train,0.0
3463,166,196,70,119,86,108,train,0.0
3317,167,196,68,118,83,111,train,0.0
3812,167,196,69,119,74,104,train,0.0
3201,167,195,67,118,83,106,train,0.0
2180,163,204,72,109,80,98,train,0.0
2324,168,191,71,111,81,114,train,0.0
3227,171,176,65,121,83,107,train,0.0
3489,171,177,66,122,84,106,train,0.0
2557,171,171,66,114,83,108,train,0.0
3267,173,212,83,134,85,97,train,0.0
2959,175,213,82,133,86,93,train,0.0
2846,177,214,85,133,88,93,train,0.0
3127,174,213,82,131,86,97,train,0.0
2734,177,212,83,132,87,95,train,0.0
3778,165,180,68,124,88,108,train,0.0
3691,165,181,68,124,89,107,train,0.0
3865,165,181,69,125,88,107,train,0.0
2875,165,180,68,122,87,109,train,0.0
3225,165,180,68,124,88,107,train,0.0
2981,164,177,73,122,91,92,train,0.0
2812,163,172,74,121,89,92,train,0.0
2561,164,173,71,120,91,96,train,0.0
2785,163,171,72,121,90,90,train,0.0
3038,164,177,75,122,90,91,train,0.0
2595,176,197,74,126,88,100,train,0.0
2257,176,196,74,125,86,99,train,0.0
2483,175,197,74,128,86,95,train,0.0
2314,177,196,73,126,85,94,train,0.0
2061,176,195,72,124,85,93,train,0.0
4147,150,189,70,119,72,103,test,0.0
4292,151,189,70,118,71,103,test,0.0
4175,150,189,70,118,70,105,test,0.0
4525,152,190,70,120,74,103,test,0.0
3913,153,188,69,119,75,105,test,0.0
2971,177,184,71,122,78,95,train,0.0
2353,183,187,72,118,76,94,train,0.0
3906,175,177,70,123,79,94,train,0.0
1701,172,173,203,225,147,101,train,0.0
3962,175,178,69,124,80,95,train,0.0
3918,179,188,74,127,79,103,train,0.0
3569,179,187,72,124,78,102,train,0.0
3802,178,187,75,124,77,104,train,0.0
3628,178,186,74,124,77,103,train,0.0
3365,179,185,74,124,76,103,train,0.0
2503,164,185,69,116,70,120,train,0.0
3261,164,184,69,118,71,121,train,0.0
2999,165,183,69,118,70,123,train,0.0
3435,165,186,69,118,71,121,train,0.0
2620,164,185,69,116,69,121,train,0.0
2247,162,216,66,116,68,122,test,0.0
2394,161,216,67,116,69,121,test,0.0
2568,162,216,67,115,69,122,test,0.0
2277,162,216,66,116,68,122,test,0.0
2481,162,216,67,117,67,123,test,0.0
3116,164,197,68,122,70,123,train,0.0
2708,164,194,66,121,70,121,train,0.0
2970,165,196,68,121,70,123,train,0.0
2766,165,194,67,121,70,121,train,0.0
2504,165,191,65,120,71,121,train,0.0
2958,163,203,66,122,70,131,train,0.0
2609,163,202,64,122,71,130,train,0.0
2841,163,203,65,123,70,131,train,0.0
