,precision,recall,f1-score,support
Adduction_Grip,0.9037433155080213,0.9086021505376344,0.9061662198391421,186.0
Fixed_hook,0.9948453608247423,0.9948453608247423,0.9948453608247423,194.0
Large_diameter,0.9096045197740112,0.936046511627907,0.9226361031518625,172.0
Parallel_extension,0.9560439560439561,1.0,0.9775280898876404,174.0
Precision_sphere,0.794392523364486,0.8947368421052632,0.8415841584158416,190.0
Sphere_4_finger,0.9041095890410958,0.7674418604651163,0.8301886792452831,172.0
Ventral,0.9777777777777777,0.9723756906077348,0.9750692520775623,181.0
Writing_Tripod,0.958904109589041,0.89171974522293,0.9240924092409241,157.0
accuracy,0.9221598877980365,0.9221598877980365,0.9221598877980365,0.9221598877980365
macro avg,0.9249276439903915,0.920721020173916,0.9215137840853749,1426.0
weighted avg,0.9241704306976497,0.9221598877980365,0.9218749649920845,1426.0
